id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation,source
C5-008,SLA Chapter 5,Which example best fits a processability-based explanation?,A learner fails to use a structure because the required processing procedure is not yet available,A learner refuses to speak because the textbook has no pictures,A learner forgets a word because it was printed in small font,A learner learns a word only because it appears in a song,1,Source: The theory explains developmental constraints in grammatical processing rather than motivation or presentation style alone.,SLA Chapter 5 notes: 5.3 Processability Theory
C5-009,SLA Chapter 5,"According to Input Processing Theory, what do learners often prioritize when interpreting input?",Meaning and lexical information before grammatical form,Teacher evaluation before sentence meaning,Spelling before all other information,Rare grammatical morphemes before content words,1,Source: Input Processing Theory emphasizes that learners tend to process meaning first and may overlook redundant or less salient forms.,SLA Chapter 5 notes: 5.4.1 Input processing
C5-010,SLA Chapter 5,Which example best illustrates meaning overriding form in input processing?,A learner understands past time from “yesterday” but does not notice the -ed ending,A learner ignores the word “yesterday” and notices only punctuation,A learner understands a sentence only by translating every sound,A learner notices only the color of the textbook page,1,Source: Learners may rely on lexical semantics or temporal adverbs instead of grammatical morphology when interpreting input.,SLA Chapter 5 notes: 5.4.1 Input processing
C5-011,SLA Chapter 5,Which type of information is likely to take center stage during early input processing?,Content words and nonredundant information,Silent pauses and page numbers,Only inflectional endings with no meaning,The teacher’s grading rubric,1,"Source: The notes emphasize content words, lexical items, and nonredundant information as especially likely to be processed.",SLA Chapter 5 notes: 5.4.1 Input processing
C5-012,SLA Chapter 5,What does processing determinism suggest about L2 acquisition?,Structural complexity can limit what learners are able to process and acquire,The most complex structures are always acquired first,Processing difficulty is unrelated to acquisition,Learners acquire grammar without receiving input,1,Source: Processing determinism connects acquisition with the learner’s ability to process structurally complex input.,SLA Chapter 5 notes: 5.4.2 Processing Determinism
C5-013,SLA Chapter 5,Why can “him” versus “himself” be difficult for L2 learners?,"It requires processing structural relations and reference, not just word meaning",It is difficult only because both words are rare,It requires no grammatical processing at all,It can be solved only through pronunciation practice,1,Source: Pronouns and reflexives require learners to interpret structural relationships such as who refers to whom.,SLA Chapter 5 notes: 5.4.2 Processing Determinism
C5-014,SLA Chapter 5,What is the main idea of Carroll’s Autonomous Induction Theory?,Acquisition can move forward when parsing failure leads learners to induce new categories or structures,Acquisition occurs only when learners memorize grammar tables,Parsing problems prevent all language development forever,Learners acquire language by avoiding difficult input,1,Source: The theory treats learning as an inductive process triggered by difficulty parsing utterances.,SLA Chapter 5 notes: 5.4.3 Autonomous Induction Theory
C5-015,SLA Chapter 5,"In Autonomous Induction Theory, what is parsing?",Categorizing the stream of sounds or words into meaningful linguistic units,Repeating a sentence aloud without understanding it,Choosing a topic for a speaking test,Correcting spelling errors after writing,1,Source: Parsing is the process of organizing input into meaningful units and structural relations.,SLA Chapter 5 notes: 5.4.3 Autonomous Induction Theory
C5-016,SLA Chapter 5,Why is “That’s the cat whom the dog bit” useful for explaining parsing difficulty?,The learner must identify that “whom” refers to the cat as the object of “bit”,The sentence contains no structural relationship,The sentence can be interpreted only by counting words,The sentence is difficult only because “cat” is an unknown word,1,Source: Object relative clauses require learners to parse relationships that are less straightforward than simple subject-verb-object patterns.,SLA Chapter 5 notes: 5.4.3 Autonomous Induction Theory
C5-017,SLA Chapter 5,What does the Shallow Structure Hypothesis claim about adult L2 comprehension?,"Adult L2 learners often rely more on lexical-semantic, pragmatic, and contextual information than on detailed syntax",Adult L2 learners always build deeper syntactic representations than native speakers,Adult L2 learners never use meaning when processing language,Adult L2 comprehension depends only on pronunciation speed,1,Source: The hypothesis argues that adult L2 representations in comprehension may be shallower and less syntactically detailed.,SLA Chapter 5 notes: 5.4.4 Shallow Structure Hypothesis
C5-018,SLA Chapter 5,Which situation best illustrates shallow structure processing?,A learner interprets a sentence mainly from world knowledge even when syntax points elsewhere,A learner analyzes every syntactic dependency in detail,A learner refuses to use context when reading,A learner ignores all lexical meaning,1,"Source: The hypothesis predicts greater reliance on non-structural information such as semantics, context, and pragmatic knowledge.",SLA Chapter 5 notes: 5.4.4 Shallow Structure Hypothesis
C5-019,SLA Chapter 5,What is the central idea of emergentist or usage-based models?,Language knowledge emerges from use and the extraction of regularities from input,Language is learned only by memorizing isolated definitions,Language use is irrelevant to learning,Only innate grammar can explain all learning,1,"Source: Emergentist models emphasize usage, input, and the gradual formation of patterns from experience.",SLA Chapter 5 notes: 5.5 Emergentist Models
C5-020,SLA Chapter 5,What are form-function mappings?,Connections between linguistic forms and the meanings or communicative functions they express,A list of test scores and student names,A method for translating every word literally,Connections between font size and page layout,1,Source: Usage-based approaches emphasize how learners connect forms such as -ed or word order with meanings and functions.,SLA Chapter 5 notes: 5.5 Emergentist Models
C5-021,SLA Chapter 5,What does the Competition Model propose about sentence interpretation?,Different cues compete to determine how a sentence is understood,Only one universal cue is used in all languages,Learners ignore word order in every language,Sentence interpretation is unrelated to input,1,"Source: The Competition Model explains comprehension through competition among cues such as word order, morphology, animacy, and context.",SLA Chapter 5 notes: 5.5.1 Competition Model
C5-022,SLA Chapter 5,"In the sentence “The grass eats the cows,” why is interpretation difficult?",Word order and morphology conflict with animacy and real-world knowledge,All cues support exactly the same interpretation,There is no verb in the sentence,The sentence is difficult only because it is long,1,"Source: The example shows competition among cues: grammar points to grass as subject, while world knowledge suggests cows eat grass.",SLA Chapter 5 notes: 5.5.1 Competition Model
C5-023,SLA Chapter 5,What does language-specific cue strength mean?,"Different languages assign different importance to cues such as word order, case marking, and morphology",Every language uses the same cue in exactly the same way,Cues are random and cannot be learned,Cue strength is determined only by textbook layout,1,"Source: For example, English relies strongly on word order, while Japanese can rely heavily on particles such as が and を.",SLA Chapter 5 notes: 5.5.1 Competition Model
C5-024,SLA Chapter 5,How can the native language influence L2 sentence processing in the Competition Model?,Learners may initially interpret L2 sentences using cue strengths from their L1,The native language has no effect on L2 comprehension,Learners automatically abandon all L1 processing strategies,Only pronunciation transfers from the native language,1,Source: The notes indicate that learners’ initial hypotheses often align with sentence interpretation patterns in the native language.,SLA Chapter 5 notes: 5.5.1 Competition Model
C5-025,SLA Chapter 5,What is emphasized by the Unified Competition Model?,"Neurocognitive, developmental, and social factors that shape competition during language use",Only written grammar exercises,The complete separation of form and function,The rejection of cue-based interpretation,1,"Source: The unified version expands cue competition to include developmental, neurocognitive, and social dimensions.",SLA Chapter 5 notes: 5.5.1 Competition Model
C5-026,SLA Chapter 5,What is the main claim of frequency-based accounts?,"Humans are sensitive to frequency, and repeated exposure strengthens linguistic patterns",Only rare forms are learned strongly,Input frequency has no relationship to memory,Language learning cannot involve general cognition,1,Source: Frequency-based accounts argue that learners extract regularities from repeated L2 experience.,SLA Chapter 5 notes: 5.5.2 Frequency-Based Accounts
C5-027,SLA Chapter 5,What does exemplar-based learning mean?,Learning is based on stored examples from input from which patterns gradually emerge,Learning begins by deleting all concrete examples,Learners rely only on abstract rules with no examples,Examples prevent learners from finding patterns,1,"Source: In exemplar-based views, concrete instances such as repeated chunks provide the basis for abstraction and pattern learning.",SLA Chapter 5 notes: 5.5.2 Frequency-Based Accounts
C5-028,SLA Chapter 5,Which statement best fits a network view of language knowledge?,Knowledge consists of interconnected exemplars and patterns with variable strengths,Language is stored as one isolated grammar rule,Words and phrases have no connections in memory,Frequency weakens connections between forms,1,Source: Frequency-based accounts treat language as networks in which repeated patterns create stronger associations.,SLA Chapter 5 notes: 5.5.2 Frequency-Based Accounts
C5-029,SLA Chapter 5,What does repeated exposure do in parallel distributed processing accounts?,It strengthens associations across the network and facilitates access,It removes all patterns from memory,It makes processing slower every time,It prevents learners from noticing any regularities,1,Source: PDP accounts explain learning as changing connection strengths through exposure to repeated patterns.,SLA Chapter 5 notes: 5.5.2 Frequency-Based Accounts
C5-030,SLA Chapter 5,Which statement best summarizes the role of frequency in morphology learning?,"Frequent forms and patterns are more likely to be noticed, remembered, and accessed fluently",Morphology is unaffected by frequency of occurrence,Only forms that never appear in input can be learned,"Frequency matters only for reading speed, not grammar",1,"Source: The notes connect morphology with frequency of occurrence, memory strength, and fluent access.",SLA Chapter 5 notes: 5.5.2 Frequency-Based Accounts
C5-031,SLA Chapter 5,What is the central view of Complex Dynamic Systems Theory?,"L2 development is nonlinear, variable, self-organizing, and shaped by interacting factors",L2 development follows one identical route for every learner,Only one factor causes all language development,Language systems are closed and unaffected by context,1,Source: CDST views language as an open complex system whose subsystems interact with learners and environments over time.,SLA Chapter 5 notes: 5.6 Complex Dynamic Systems
C5-032,SLA Chapter 5,What does chaos mean in Complex Dynamic Systems Theory?,Outcomes of interacting variables over time can be difficult to predict using conventional linear models,Everything is completely random and has no pattern,Learners never develop stable language patterns,Only classroom noise affects learning,1,"Source: Chaos refers to unpredictable outcomes from interacting variables, while order can still emerge from complexity.",SLA Chapter 5 notes: 5.6 Complex Dynamic Systems
C5-033,SLA Chapter 5,What is self-organization in L2 development?,Learners’ language systems form workable patterns without needing a single external controller,Teachers directly control every internal change in the learner’s grammar,Learners acquire language only by copying a grammar book,No order can emerge from learner language,1,Source: CDST emphasizes that L2 systems are open and self-organizing in response to communicative contexts.,SLA Chapter 5 notes: 5.6 Complex Dynamic Systems
C5-034,SLA Chapter 5,How does CDST interpret variability in learner performance?,Variability can be a sign of development and reorganization rather than simple failure,Variability always means learning has stopped,High proficiency requires no variation at all,Variability is unrelated to language learning,1,Source: The notes mention that higher-proficiency gains can coincide with greater variability.,SLA Chapter 5 notes: 5.6 Complex Dynamic Systems
C5-035,SLA Chapter 5,Which sequence best illustrates U-shaped learning?,ate → eated → ate,go → went → walking,book → table → window,syntax → motivation → policy,1,"Source: U-shaped learning involves initial correct use, later overgeneralization, and eventual reorganization toward target-like use.",SLA Chapter 5 notes: 5.6 and 5.8.3 U-shaped Learning
C5-036,SLA Chapter 5,What is the main idea of Skill Acquisition Theory?,Language learning can develop from declarative knowledge to proceduralized and automatic skill through practice,Language learning cannot be affected by practice,Only unconscious exposure matters and rules are never useful,Speaking skill develops without using knowledge,1,Source: Skill Acquisition Theory explains L2 learning as skill development through stages of knowledge use and automatization.,SLA Chapter 5 notes: 5.7 Skill Acquisition Theory
C5-037,SLA Chapter 5,Which sequence best represents Skill Acquisition Theory?,cognitive stage → associative stage → autonomous stage,autonomous stage → no input → forgetting stage,pronunciation stage → spelling stage → policy stage,testing stage → grading stage → reporting stage,1,"Source: SAT commonly describes skill learning through cognitive, associative, and autonomous stages.",SLA Chapter 5 notes: 5.7 Skill Acquisition Theory
C5-038,SLA Chapter 5,What does proceduralization mean?,Turning rule knowledge into knowledge that can be used in performance,Forgetting rules after a test,Explaining grammar without using it,Removing practice from instruction,1,Source: Proceduralization is the process of making declarative knowledge usable in real-time tasks.,SLA Chapter 5 notes: 5.7 Skill Acquisition Theory
C5-039,SLA Chapter 5,Why is automaticity important in L2 speaking?,"It allows fast, unconscious, and effortless access to linguistic knowledge during communication",It forces learners to translate every sentence slowly,It eliminates the need for vocabulary knowledge,It prevents learners from understanding meaning,1,"Source: Automaticity reduces processing load, allowing learners to focus more on meaning and communication.",SLA Chapter 5 notes: 5.8.1 Automaticity
C5-040,SLA Chapter 5,What is restructuring in information processing accounts?,A qualitative change in the learner’s internal representation of the L2,The simple addition of one unrelated new word,Copying a model sentence without understanding it,Repeating the same error without change,1,"Source: Restructuring means reorganization of internal representations, not merely adding more information.",SLA Chapter 5 notes: 5.8.2 Restructuring
C5-041,SLA Chapter 5,What does the temporary regression in U-shaped learning often indicate?,Destabilization caused by restructuring and overgeneralization,Permanent loss of all previous knowledge,A lack of any learning process,A purely motivational problem,1,Source: Stage 2 in U-shaped learning can look worse but may reflect rule formation and reorganization.,SLA Chapter 5 notes: 5.8.3 U-shaped Learning
C5-042,SLA Chapter 5,What does the Noticing Hypothesis claim?,Learners need to notice relevant features in input for learning to occur,Learning occurs only when learners ignore input,Attention is unnecessary in language learning,Only final test scores cause acquisition,1,Source: The Noticing Hypothesis emphasizes awareness of forms and noticing the gap between learner output and target forms.,SLA Chapter 5 notes: 5.8.4 Attention
C5-043,SLA Chapter 5,Which sequence best matches components of attention discussed in Chapter 5?,"alertness, orientation, and detection","translation, memorization, and grading","grammar, vocabulary, and literature","planning, teaching, and testing",1,"Source: Attention involves readiness to receive stimuli, directing resources, and registering stimuli.",SLA Chapter 5 notes: 5.8.4 Attention
C5-044,SLA Chapter 5,What is working memory?,A system for temporarily storing and manipulating information during ongoing processing,A permanent list of all words ever learned,A classroom seating chart,A dictionary stored outside the learner,1,"Source: Working memory involves active maintenance, manipulation, and control of task-relevant information during processing.",SLA Chapter 5 notes: 5.8.5 Working Memory
C5-045,SLA Chapter 5,Which component of Baddeley and Hitch’s model supervises and coordinates information?,The central executive,The phonological loop,The visuospatial sketchpad,The textbook glossary,1,Source: The central executive is the overall supervisor that coordinates attention and information in working memory.,SLA Chapter 5 notes: 5.8.5 Working Memory
C5-046,SLA Chapter 5,What is salience in L2 input?,How noticeable or prominent a linguistic feature is to the learner,How difficult a final exam is,How many pages a textbook has,How expensive a learning tool is,1,Source: Salience refers to the extent to which a linguistic feature stands out in input.,SLA Chapter 5 notes: 5.8.6 Salience
C5-047,SLA Chapter 5,What is constructed salience?,An outside source such as a teacher or material makes a target feature more prominent,A feature becomes invisible because it appears often,Learners avoid all formal properties of language,A structure is learned without any input,1,Source: Constructed salience includes instructional actions such as highlighting forms or designing tasks that draw attention to target features.,SLA Chapter 5 notes: 5.8.6 Salience
C5-048,SLA Chapter 5,What is priming?,"Prior exposure to a word, phrase, or structure influences later processing or production",A learner memorizes a rule after an exam,A teacher removes all examples from input,A word is learned only through dictionary translation,1,Source: Priming is a psycholinguistic phenomenon in which earlier stimuli facilitate or influence later language use.,SLA Chapter 5 notes: 5.8.7 Priming
C5-049,SLA Chapter 5,Which example best illustrates syntactic priming?,"After hearing a passive sentence, a learner becomes more likely to produce another passive sentence","After seeing a picture, a learner forgets all grammar","After taking a vocabulary test, a learner changes classrooms","After reading a rule, a learner stops using examples",1,Source: Syntactic priming occurs when exposure to a structure increases the likelihood of using that structure later.,SLA Chapter 5 notes: 5.8.7 Priming
C5-050,SLA Chapter 5,Which statement best captures the interface issue in knowledge types?,It asks whether and how explicit knowledge can become or support implicit knowledge,It asks whether textbooks should include pictures,It asks whether all learners should take the same test,It asks whether vocabulary and pronunciation are unrelated,1,"Source: The interface debate concerns relationships among acquisition/learning, declarative/procedural, and explicit/implicit knowledge.",SLA Chapter 5 notes: 5.9 Knowledge Types
C5-051,SLA Chapter 5,How does Krashen’s acquisition/learning distinction describe learned knowledge?,Learned knowledge monitors or checks output generated by the acquired system,Learned knowledge is the only source of fluent speech,Learned knowledge is always unconscious and automatic,Learned knowledge has no connection to accuracy,1,"Source: In this distinction, acquisition supports spontaneous production, while learned knowledge can monitor form.",SLA Chapter 5 notes: 5.9.1 Acquisition/Learning
C5-052,SLA Chapter 5,Which statement best distinguishes declarative and procedural knowledge?,"Declarative knowledge is knowledge about facts or rules, while procedural knowledge is knowledge for using skills","Declarative knowledge is always pronunciation, while procedural knowledge is always spelling","Declarative knowledge is unconscious, while procedural knowledge is always written",Declarative and procedural knowledge are exactly the same concept,1,Source: Declarative knowledge involves facts and rules; procedural knowledge involves using knowledge in sequenced cognitive or motor skills.,SLA Chapter 5 notes: 5.9.2 Declarative/Procedural
C5-053,SLA Chapter 5,Why do adult L2 learners often rely heavily on declarative knowledge?,"They can consciously learn rules, but those rules may not yet be proceduralized for fluent use",They cannot learn any explicit grammar rules,They always acquire L2 exactly like children acquire L1,They do not need practice to speak fluently,1,Source: Adult L2 learners may know rules explicitly but still struggle to access them automatically in real-time communication.,SLA Chapter 5 notes: 5.9.2 Declarative/Procedural
C5-054,SLA Chapter 5,What is the best relationship between explicit/implicit and declarative/procedural knowledge?,"Declarative knowledge often overlaps with explicit knowledge, and procedural knowledge often overlaps with implicit knowledge",Explicit knowledge and implicit knowledge are always identical,Declarative knowledge is always implicit and procedural knowledge is always explicit,The two distinctions refer only to classroom grades,1,"Source: The concepts are related but not perfectly identical: one distinction focuses on awareness, the other on function and use.",SLA Chapter 5 notes: 5.9.3 Implicit/Explicit
C5-055,SLA Chapter 5,What does representation refer to in knowledge types?,How linguistic information is mentally organized and analyzed,How quickly a learner can press a button,How many classmates a learner has,How a school reports grades,1,Source: Representation concerns the mental organization and depth of analysis of linguistic knowledge.,SLA Chapter 5 notes: 5.9.4 Representation/Control
C5-056,SLA Chapter 5,What does control refer to in knowledge types?,The speed and efficiency with which linguistic knowledge can be accessed and used,The number of grammar terms a learner can define,The amount of homework assigned by a teacher,The visual design of a textbook page,1,Source: Control concerns real-time access to and use of linguistic knowledge during comprehension or production.,SLA Chapter 5 notes: 5.9.4 Representation/Control
C5-057,SLA Chapter 5,Which statement best reflects the relation between analysis and target-like use?,Greater analytic sophistication does not necessarily produce more target-like performance,"The more a learner analyzes grammar, the more accurate all speaking becomes immediately",Less analysis always produces perfect target-like use,Target-like performance is unrelated to any knowledge representation,1,Source: Chapter 5 notes that deeper analysis does not automatically entail greater approximation to the target language.,SLA Chapter 5 notes: 5.9.4 Representation/Control
C5-058,SLA Chapter 5,What role can prefabricated patterns play in L2 development?,They let learners express functions they cannot yet construct productively and may later be reanalyzed,They prevent all later grammatical development,They are useful only for spelling tests,They remove the need for input and interaction,1,Source: Stored chunks such as “I would like to” can support communication before learners fully analyze the underlying grammar.,SLA Chapter 5 notes: 5.9.4 Representation/Control
C5-059,SLA Chapter 5,Which position claims that explicit knowledge can become proceduralized through practice?,Strong-interface position,Non-interface position,No-input position,Purely genetic position,1,Source: The strong-interface position aligns with skill acquisition accounts in which declarative knowledge can become procedural and automatic.,SLA Chapter 5 notes: 5.9.5 Interface of Knowledge Types
C5-060,SLA Chapter 5,Which position best fits the idea that explicit knowledge can indirectly support implicit learning by promoting noticing?,Weak-interface position,Non-interface position,No-learning position,Translation-only position,1,Source: The weak-interface position argues that explicit knowledge may help by directing attention and supporting noticing rather than directly converting into implicit knowledge.,SLA Chapter 5 notes: 5.9.5 Interface of Knowledge Types
